session_id,task_key,notes
20260208_150100_prototype_A,prototype_ux_survey,La visualizzazione a griglia rende la scelta più rapida e immediata. Meno scrolling rispetto alla lista e confronto visivo molto efficace.
20260208_160215_prototype_B,prototype_ux_survey,"Navigazione comprensibile ma troppo basata sullo scrolling. Mancano filtri chiari per allergeni e tipologia di piatto, rendendo la scelta più lenta."
20260204_095120_prototype_A,prototype_ux_survey,Ho bisogno di opzioni vegane! E altri indicatori delle spezie. Il piatto di pollo sembrava promettente ma cpmunque... pollo. Ho sprecato il mio tempo.
20260204_115609_prototype_B,prototype_ux_survey,"Navigazione rapida, filtri ok, ma vorrei più opzioni vegane e piccanti."
20260208_103313_prototype_A,prototype_ux_survey,Trovo difficile capire subito la difficoltà delle ricette. Dovrebbe essere più evidente nella schermata principale.
20260208_113045_prototype_B,prototype_ux_survey,"Il sito è abbastanza intuitivo, ma sarebbe utile avere filtri più specifici, ad esempio per tempo di preparazione e ingredienti (senza glutine)."
20260204_173844_prototype_A,prototype_ux_survey,"Navigazione attenta, filtri chiari, ma alcune ricette difficili da trovare. Apprezzata la varietà regionale."
20260204_220055_prototype_B,prototype_ux_survey,"Navigazione attenta, filtri chiari, ma alcune ricette difficili da trovare. Apprezzata la varietà regionale."
20260207_193846_prototype_A,prototype_ux_survey,Trovare ricette vegetariane è incredibilmente difficile. Il sito sembra pieno di ricette con carne. Serve un filtro per tipo di dieta.
20260207_202846_prototype_B,prototype_ux_survey,"Troppo scroll per trovare qualcosa di interessante. Il purè non mi ha convinto per via dei latticini, ma non ho trovato subito alternative chiare. Serve un filtro per 'senza lattosio' o 'vegano'."
20260209_152253_prototype_A,prototype_ux_survey,"Il sito è abbastanza facile da usare, ma inizialmente non ho trovato subito il filtro per le portate. Una volta trovato, è stato semplice trovare i piatti."
20260209_112300_prototype_B,prototype_ux_survey,"Il sito è abbastanza facile da usare, ma è necessario scrollare molto per trovare le ricette. Sarebbe utile avere più filtri per restringere la ricerca."
20260208_150100_prototype_A,prototype_ux_survey,"Difficile trovare ricette specifiche. Non ci sono filtri per tipo di piatto (primo, secondo) o difficoltà. Troppo scrolling."
20260208_151500_prototype_B,prototype_ux_survey,"Molto scrolling per trovare le ricette, ma l'interfaccia è chiara e familiare."
20260205_212953_prototype_A,prototype_ux_survey,Difficile trovare ricette vegetariane e senza lattosio. Servirebbe un filtro più preciso.
20260206_094740_prototype_B,prototype_ux_survey,"La navigazione è un po' macchinosa, mi aspettavo filtri più specifici per intolleranze e preferenze alimentari."
20260208_225246_prototype_A,prototype_ux_survey,"Il sito è intuitivo e facile da navigare. Mi è piaciuto poter filtrare le ricette per categoria, anche se mi piacerebbe avere più opzioni di filtro (es. tempo di preparazione, difficoltà). La selezione delle ricette è buona, ma sarebbe utile avere più dettagli sulle ricette prima di cliccarci sopra."
